ID,v024_nfhs4,sdistri,nfhs4_statecode,nfhs4_state,nfhs4_district,nfhs4d_total
S53,2,545,AP,Andhra Pradesh,East Godavari,91.7
S54,2,545,AP,Andhra Pradesh,East Godavari,44.6
S55,2,545,AP,Andhra Pradesh,East Godavari,63.9
S56,2,545,AP,Andhra Pradesh,East Godavari,22.2
S57,2,545,AP,Andhra Pradesh,East Godavari,60.3
S59,2,545,AP,Andhra Pradesh,East Godavari,96.7
S60,2,545,AP,Andhra Pradesh,East Godavari,70.3
S05,2,545,AP,Andhra Pradesh,East Godavari,84.3
S61,2,545,AP,Andhra Pradesh,East Godavari,77.2
S62,2,545,AP,Andhra Pradesh,East Godavari,82.4
S65,2,545,AP,Andhra Pradesh,East Godavari,59.1
V53,2,545,AP,Andhra Pradesh,East Godavari,80.4
S67,2,545,AP,Andhra Pradesh,East Godavari,79.6
S68,2,545,AP,Andhra Pradesh,East Godavari,20.4
S69,2,545,AP,Andhra Pradesh,East Godavari,12.3
